company_name,stock_symbol,market_value,total_shares,shares_outstanding,par_value,price_to_book,dividend_yield,enterprise_value,sector,industry
شركة البنى التحتية المستدامة القابضة,2190,2394.96,81.6,17.76,10.0,1.65,2.72,3660.13,Industrials,
شركة ذيب لتأجير السيارات,4261,3388.4,43.0,18.64,10.0,4.23,2.09,4559.82,Industrials,
شركة سال السعودية للخدمات اللوجستية,4263,21408.0,80.0,17.2,10.0,15.56,1.27,20843.6,Industrials,
شركة لومي للتأجير,4262,4015.0,55.0,21.11,10.0,3.46,0.0,5663.13,Industrials,
شركة نسيج العالمية التجارية,1213,949.39,10.9,6.05,10.0,14.39,0.0,1114.14,Consumer Cyclical,
الشركة السعودية للتنمية الصناعية,2130,379.35,13.5,5.36,10.0,5.25,0.0,403.61,Consumer Cyclical,
شركة ارتيكس للاستثمار الصناعي,2340,1290.25,81.25,14.63,10.0,1.09,0.0,1475.36,Consumer Cyclical,
شركة لازوردي للمجوهرات,4011,761.3,57.5,5.24,10.0,2.53,2.27,2017.65,Consumer Cyclical,
مجموعة فتيحي القابضة,4180,1135.75,275.0,1.71,1.0,2.42,0.0,1123.9,Consumer Cyclical,
شركة ثوب الأصيل,4012,1804.0,400.0,1.45,1.0,3.1,4.16,1712.67,Consumer Cyclical,
مجموعة سيرا القابضة,1810,6840.0,300.0,22.32,10.0,1.02,0.0,8224.3,Consumer Cyclical,
شركة الأعمال التطويرية الغذائية,6013,384.6,3.0,9.19,10.0,13.95,0.0,390.75,Consumer Cyclical,
مجموعة عبدالمحسن الحكير للسياحة والتنمية,1820,822.15,315.0,0.7,1.0,3.71,0.0,1248.59,Consumer Cyclical,
شركة المشروعات السياحية,4170,1133.34,1156.47,0.44,50.0,2.2,0.0,610.85,Consumer Cyclical,
شركة الخليج للتدريب والتعليم,4290,1911.0,65.0,8.43,10.0,3.49,0.0,2416.1,Consumer Defensive,
شركة هرفي للخدمات الغذائية,6002,1518.69,64.68,15.1,10.0,1.55,0.0,1491.31,Consumer Cyclical,
شركة لجام للرياضة,1830,9439.42,52.38,23.98,10.0,7.52,2.03,9417.34,Consumer Cyclical,
شركة ريدان الغذائية,6012,371.54,15.81,8.63,10.0,2.72,0.0,374.1,Consumer Cyclical,
الشركة الوطنية للتربية و التعليم,4291,9245.0,43.0,18.45,10.0,11.65,0.97,9240.2,Consumer Defensive,
شركة عطاء التعليمية,4292,3043.11,42.09,19.04,10.0,3.8,1.52,3641.71,Consumer Defensive,
شركة الآمار الغذائية,6014,1968.6,25.5,11.48,10.0,6.73,2.69,1846.2,Consumer Cyclical,Restaurants
شركة أمريكانا للمطاعم العالمية بي إل سي - شركة أجنبية,6015,19627.06,8423.63,0.16,7.5,14.38,3.43,18657.91,Consumer Cyclical,
شركة مطاعم بيت الشطيرة للوجبات السريعة,6016,749.0,35.0,2.09,1.0,10.22,0.66,749.49,Consumer Cyclical,
شركة تهامة للإعلان والعلاقات العامة,4070,613.6,40.0,5.37,10.0,2.86,0.0,324.3,Communication Services,
المجموعة السعودية للأبحاث والإعلام,4210,20576.0,80.0,41.73,10.0,6.16,0.0,20736.4,Communication Services,
الشركة العربية للتعهدات الفنية,4071,8010.0,50.0,25.89,10.0,6.19,1.44,9309.29,Communication Services,
شركة مجموعة إم بي سي,4072,15461.25,332.5,12.01,10.0,3.87,0.0,14261.46,Communication Services,
الشركة المتحدة للإلكترونيات,4003,7840.0,80.0,16.97,10.0,5.78,3.58,9074.89,Consumer Cyclical,
